"","X","region","population","sex","age","education","income","statusquo","vote"
"1",1,"N",175000,"M",65,"P",35000,1.0082,"Y"
"2",2,"N",175000,"M",29,"PS",7500,-1.29617,"N"
"3",3,"N",175000,"F",38,"P",15000,1.23072,"Y"
"4",4,"N",175000,"F",49,"P",35000,-1.03163,"N"
"5",5,"N",175000,"F",23,"S",35000,-1.10496,"N"
"6",6,"N",175000,"F",28,"P",7500,-1.04685,"N"
"7",7,"N",175000,"M",26,"PS",35000,-0.78626,"N"
"8",8,"N",175000,"F",24,"S",15000,-1.11348,"N"
"9",9,"N",175000,"F",41,"P",15000,-1.01292,"U"
"10",10,"N",175000,"M",41,"P",15000,-1.29617,"N"
"11",11,"N",175000,"M",64,"P",15000,1.36566,"Y"
"12",12,"N",175000,"M",19,"S",35000,1.02791,"U"
"14",14,"N",175000,"F",46,"S",75000,1.50684,"Y"
"16",16,"N",175000,"M",22,"S",15000,-1.14189,"A"
"17",17,"N",175000,"F",20,"PS",15000,-0.85579,"N"
"18",18,"N",175000,"M",30,"S",35000,-0.90689,"U"
"19",19,"N",175000,"M",67,"P",75000,1.32279,"Y"
"20",20,"N",175000,"F",50,"S",2500,-1.05805,"U"
"21",21,"N",175000,"F",38,"S",35000,1.38534,"Y"
"22",22,"N",175000,"F",55,"PS",35000,1.45602,"Y"
"23",23,"N",175000,"M",18,"S",75000,1.54808,"Y"
"24",24,"N",175000,"F",24,"PS",35000,1.61471,"Y"
"25",25,"N",175000,"M",58,"P",35000,1.52601,"Y"
"26",26,"N",175000,"F",28,"S",35000,0.55328,"U"
"27",27,"N",175000,"F",34,"P",7500,1.33619,"A"
"29",29,"N",175000,"M",20,"PS",35000,-0.89281,"N"
"30",30,"N",175000,"M",53,"PS",35000,-1.29617,"A"
"31",31,"N",175000,"F",32,"PS",35000,1.50986,"Y"
"32",32,"N",175000,"F",37,"PS",200000,0.96525,"Y"
"33",33,"N",175000,"M",36,"PS",7500,0.15489,"U"
"34",34,"N",175000,"M",44,"PS",35000,1.16851,"N"
"35",35,"N",175000,"M",20,"PS",15000,-1.29617,"N"
"36",36,"N",175000,"F",36,"P",35000,-0.35147,"Y"
"37",37,"N",175000,"M",37,"P",7500,1.43203,"Y"
"38",38,"N",175000,"M",30,"S",35000,0.2636,"A"
"39",39,"N",175000,"M",30,"P",15000,0.11067,"Y"
"40",40,"N",175000,"F",19,"P",15000,0.72102,"A"
"41",41,"N",125000,"F",33,"S",35000,1.00232,"A"
"42",42,"N",125000,"M",30,"S",15000,-1.1517,"N"
"43",43,"N",125000,"F",37,"PS",35000,1.40361,"Y"
"44",44,"N",125000,"M",51,"P",15000,0.52166,"Y"
"45",45,"N",125000,"F",61,"P",35000,0.79952,"Y"
"46",46,"N",125000,"F",21,"S",7500,0.53177,"U"
"47",47,"N",125000,"F",70,"P",15000,1.48894,"Y"
"48",48,"N",125000,"M",35,"S",35000,0.49674,"Y"
"49",49,"N",125000,"M",68,"P",35000,1.32695,"Y"
"50",50,"N",125000,"F",25,"P",35000,1.54808,"Y"
"51",51,"N",125000,"F",50,"P",7500,1.33168,"Y"
"52",52,"N",125000,"F",24,"S",35000,1.03408,"Y"
"53",53,"N",125000,"M",66,"P",35000,0.87984,"U"
"54",54,"N",125000,"M",25,"S",75000,-0.42448,"A"
"55",55,"N",125000,"M",40,"S",15000,-1.04016,"N"
"56",56,"N",125000,"M",34,"PS",125000,-1.10088,"N"
"57",57,"N",125000,"M",18,"S",35000,-0.37211,"U"
"58",58,"N",125000,"F",52,"S",35000,1.24649,"Y"
"59",59,"N",125000,"F",35,"S",35000,1.59577,"Y"
"60",60,"N",125000,"M",51,"S",75000,1.34999,"Y"
"61",61,"N",125000,"M",33,"PS",75000,1.33168,"Y"
"62",62,"N",125000,"F",36,"S",15000,0.80845,"Y"
"63",63,"N",125000,"F",24,"S",35000,-0.48981,"U"
"64",64,"N",125000,"F",43,"P",15000,1.04409,"Y"
"65",65,"N",125000,"M",50,"P",15000,-0.83203,"U"
"66",66,"N",125000,"F",28,"P",35000,1.5877,"Y"
"67",67,"N",125000,"F",54,"P",15000,0.90506,"U"
"68",68,"N",125000,"M",19,"S",7500,0.52845,"N"
"69",69,"N",125000,"F",26,"S",35000,1.45329,"Y"
"70",70,"N",125000,"M",67,"PS",75000,0.23095,"A"
"71",71,"N",125000,"M",40,"PS",35000,-0.52639,"N"
"72",72,"N",125000,"M",19,"PS",35000,-1.10706,"N"
"73",73,"N",125000,"F",38,"S",75000,1.06142,"Y"
"74",74,"N",125000,"F",22,"PS",35000,-1.30351,"N"
"75",75,"N",125000,"M",38,"PS",75000,0.27293,"U"
"77",77,"N",125000,"F",36,"S",75000,0.18447,"A"
"78",78,"N",125000,"M",38,"PS",35000,-1.29617,"N"
"79",79,"N",125000,"M",19,"S",35000,-0.02965,"N"
"80",80,"N",125000,"M",32,"PS",75000,1.48284,"Y"
"81",81,"N",125000,"M",38,"S",15000,-0.59145,"U"
"82",82,"N",125000,"M",54,"P",35000,-1.1921,"N"
"83",83,"N",125000,"M",48,"P",35000,1.02326,"Y"
"84",84,"N",125000,"F",30,"S",75000,-0.99223,"N"
"85",85,"N",125000,"M",23,"PS",35000,-1.10784,"Y"
"86",86,"N",125000,"F",46,"S",125000,1.5877,"Y"
"87",87,"N",125000,"F",19,"S",7500,-0.14772,"U"
"88",88,"N",125000,"F",54,"P",7500,0.22433,"U"
"89",89,"N",125000,"M",23,"S",15000,-1.12468,"N"
"90",90,"N",125000,"M",68,"P",7500,0.11359,"U"
"91",91,"N",125000,"F",44,"S",35000,-1.14579,"N"
"92",92,"N",125000,"M",65,"P",35000,1.02326,"Y"
"93",93,"N",125000,"F",24,"P",7500,-1.18567,"N"
"94",94,"N",125000,"F",19,"S",35000,1.05618,"Y"
"95",95,"N",125000,"M",21,"PS",15000,-0.7115,"A"
"96",96,"N",125000,"F",53,"P",75000,1.59943,"Y"
"97",97,"N",125000,"F",38,"P",15000,0.28099,"U"
"99",99,"N",125000,"M",28,"S",35000,-0.52335,"A"
"100",100,"N",125000,"M",57,"S",35000,-0.66752,"N"
"101",101,"N",250000,"F",50,"P",15000,-0.97742,"Y"
"102",102,"N",250000,"M",45,"P",2500,0.71898,"N"
"103",103,"N",250000,"M",19,"PS",15000,0.67533,"U"
"104",104,"N",250000,"M",58,"P",15000,1.27496,"U"
"105",105,"N",250000,"F",18,"S",125000,0.15214,"N"
"106",106,"N",250000,"F",67,"S",7500,-1.29617,"N"
"107",107,"N",250000,"M",30,"S",7500,-0.71641,"N"
"108",108,"N",250000,"F",23,"P",7500,-1.30366,"N"
"109",109,"N",250000,"F",34,"P",7500,-0.122,"Y"
"110",110,"N",250000,"M",46,"P",75000,-1.17441,"N"
"111",111,"N",250000,"M",66,"P",15000,-0.70463,"U"
"112",112,"N",250000,"F",31,"S",7500,0.00744,"U"
